complaint_text,category,priority
There is a missing signboard at main junction creating safety risks.,Signboard,Medium
There is a damaged footpath near hospital leading to traffic congestion.,Footpath,Medium
There is a deep pothole near school leading to traffic congestion.,Pothole,Medium
There is a missing signboard near school leading to traffic congestion.,Signboard,Medium
There is a damaged footpath in residential area leading to traffic congestion.,Footpath,Medium
There is a street light not working near hospital leading to traffic congestion.,Lighting,Medium
There is a damaged footpath near hospital endangering pedestrians.,Footpath,Medium
There is a street light not working in residential area endangering pedestrians.,Lighting,Medium
There is a broken traffic signal near hospital creating safety risks.,Signal,Medium
There is a deep pothole on highway leading to traffic congestion.,Pothole,Medium
There is a damaged footpath near school creating safety risks.,Footpath,Medium
There is a damaged footpath at main junction creating safety risks.,Footpath,Medium
There is a deep pothole in residential area creating safety risks.,Pothole,Medium
There is a deep pothole at main junction leading to traffic congestion.,Pothole,Medium
There is a street light not working at main junction leading to traffic congestion.,Lighting,Medium
There is a damaged footpath at main junction creating safety risks.,Footpath,Medium
There is a street light not working near school leading to traffic congestion.,Lighting,Medium
There is a broken traffic signal near school endangering pedestrians.,Signal,Medium
There is a street light not working in residential area creating safety risks.,Lighting,Medium
There is a missing signboard near school leading to traffic congestion.,Signboard,Medium
There is a street light not working at main junction causing accidents.,Lighting,High
There is a damaged footpath on highway leading to traffic congestion.,Footpath,Medium
There is a deep pothole on highway leading to traffic congestion.,Pothole,Medium
There is a street light not working in residential area endangering pedestrians.,Lighting,Medium
There is a missing signboard near school creating safety risks.,Signboard,Medium
There is a broken traffic signal near hospital endangering pedestrians.,Signal,Medium
There is a broken traffic signal at main junction creating safety risks.,Signal,Medium
There is a missing signboard at main junction creating safety risks.,Signboard,Medium
There is a deep pothole in residential area causing accidents.,Pothole,High
There is a deep pothole on highway endangering pedestrians.,Pothole,Medium
There is a damaged footpath near hospital leading to traffic congestion.,Footpath,Medium
There is a broken traffic signal on highway leading to traffic congestion.,Signal,Medium
There is a missing signboard on highway leading to traffic congestion.,Signboard,Medium
There is a street light not working on highway endangering pedestrians.,Lighting,Medium
There is a deep pothole on highway causing accidents.,Pothole,High
There is a damaged footpath near hospital endangering pedestrians.,Footpath,Medium
There is a street light not working in residential area endangering pedestrians.,Lighting,Medium
There is a broken traffic signal near school causing accidents.,Signal,High
There is a broken traffic signal at main junction leading to traffic congestion.,Signal,Medium
There is a broken traffic signal near school leading to traffic congestion.,Signal,Medium
There is a damaged footpath at main junction endangering pedestrians.,Footpath,Medium
There is a damaged footpath at main junction endangering pedestrians.,Footpath,Medium
There is a damaged footpath near hospital leading to traffic congestion.,Footpath,Medium
There is a broken traffic signal at main junction causing accidents.,Signal,High
There is a damaged footpath near hospital causing accidents.,Footpath,High
There is a deep pothole on highway leading to traffic congestion.,Pothole,Medium
There is a deep pothole at main junction causing accidents.,Pothole,High
There is a missing signboard at main junction leading to traffic congestion.,Signboard,Medium
There is a broken traffic signal at main junction leading to traffic congestion.,Signal,Medium
There is a broken traffic signal on highway endangering pedestrians.,Signal,Medium
There is a deep pothole near school causing accidents.,Pothole,High
There is a street light not working near school causing accidents.,Lighting,High
There is a deep pothole in residential area leading to traffic congestion.,Pothole,Medium
There is a damaged footpath in residential area endangering pedestrians.,Footpath,Medium
There is a missing signboard in residential area endangering pedestrians.,Signboard,Medium
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a deep pothole near school causing accidents.,Pothole,High
There is a deep pothole near hospital creating safety risks.,Pothole,Medium
There is a broken traffic signal at main junction leading to traffic congestion.,Signal,Medium
There is a broken traffic signal in residential area creating safety risks.,Signal,Medium
There is a broken traffic signal on highway endangering pedestrians.,Signal,Medium
There is a missing signboard in residential area creating safety risks.,Signboard,Medium
There is a missing signboard at main junction causing accidents.,Signboard,High
There is a missing signboard at main junction causing accidents.,Signboard,High
There is a damaged footpath near school creating safety risks.,Footpath,Medium
There is a street light not working in residential area creating safety risks.,Lighting,Medium
There is a missing signboard near hospital leading to traffic congestion.,Signboard,Medium
There is a missing signboard at main junction leading to traffic congestion.,Signboard,Medium
There is a missing signboard on highway leading to traffic congestion.,Signboard,Medium
There is a damaged footpath on highway endangering pedestrians.,Footpath,Medium
There is a broken traffic signal at main junction causing accidents.,Signal,High
There is a broken traffic signal near school leading to traffic congestion.,Signal,Medium
There is a damaged footpath on highway creating safety risks.,Footpath,Medium
There is a broken traffic signal near hospital creating safety risks.,Signal,Medium
There is a missing signboard on highway leading to traffic congestion.,Signboard,Medium
There is a street light not working near hospital creating safety risks.,Lighting,Medium
There is a damaged footpath near school endangering pedestrians.,Footpath,Medium
There is a missing signboard on highway leading to traffic congestion.,Signboard,Medium
There is a broken traffic signal near hospital leading to traffic congestion.,Signal,Medium
There is a damaged footpath in residential area endangering pedestrians.,Footpath,Medium
There is a street light not working at main junction causing accidents.,Lighting,High
There is a street light not working near school causing accidents.,Lighting,High
There is a damaged footpath on highway creating safety risks.,Footpath,Medium
There is a broken traffic signal on highway leading to traffic congestion.,Signal,Medium
There is a missing signboard on highway creating safety risks.,Signboard,Medium
There is a damaged footpath at main junction leading to traffic congestion.,Footpath,Medium
There is a damaged footpath in residential area leading to traffic congestion.,Footpath,Medium
There is a street light not working at main junction leading to traffic congestion.,Lighting,Medium
There is a damaged footpath near school causing accidents.,Footpath,High
There is a deep pothole on highway causing accidents.,Pothole,High
There is a deep pothole near school endangering pedestrians.,Pothole,Medium
There is a broken traffic signal in residential area leading to traffic congestion.,Signal,Medium
There is a missing signboard near hospital endangering pedestrians.,Signboard,Medium
There is a street light not working in residential area creating safety risks.,Lighting,Medium
There is a deep pothole near hospital leading to traffic congestion.,Pothole,Medium
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a damaged footpath at main junction creating safety risks.,Footpath,Medium
There is a street light not working at main junction leading to traffic congestion.,Lighting,Medium
There is a deep pothole in residential area creating safety risks.,Pothole,Medium
There is a broken traffic signal on highway leading to traffic congestion.,Signal,Medium
There is a damaged footpath near school creating safety risks.,Footpath,Medium
There is a broken traffic signal on highway endangering pedestrians.,Signal,Medium
There is a damaged footpath near hospital leading to traffic congestion.,Footpath,Medium
There is a damaged footpath near hospital creating safety risks.,Footpath,Medium
There is a street light not working near hospital creating safety risks.,Lighting,Medium
There is a missing signboard at main junction creating safety risks.,Signboard,Medium
There is a damaged footpath near school endangering pedestrians.,Footpath,Medium
There is a damaged footpath near hospital causing accidents.,Footpath,High
There is a damaged footpath in residential area creating safety risks.,Footpath,Medium
There is a damaged footpath on highway creating safety risks.,Footpath,Medium
There is a damaged footpath near school endangering pedestrians.,Footpath,Medium
There is a missing signboard at main junction endangering pedestrians.,Signboard,Medium
There is a street light not working on highway causing accidents.,Lighting,High
There is a street light not working on highway creating safety risks.,Lighting,Medium
There is a damaged footpath on highway causing accidents.,Footpath,High
There is a deep pothole in residential area creating safety risks.,Pothole,Medium
There is a street light not working at main junction leading to traffic congestion.,Lighting,Medium
There is a damaged footpath near school endangering pedestrians.,Footpath,Medium
There is a deep pothole near school endangering pedestrians.,Pothole,Medium
There is a broken traffic signal at main junction creating safety risks.,Signal,Medium
There is a street light not working near hospital creating safety risks.,Lighting,Medium
There is a damaged footpath on highway endangering pedestrians.,Footpath,Medium
There is a damaged footpath in residential area creating safety risks.,Footpath,Medium
There is a street light not working near school creating safety risks.,Lighting,Medium
There is a deep pothole at main junction creating safety risks.,Pothole,Medium
There is a deep pothole near hospital causing accidents.,Pothole,High
There is a deep pothole near hospital causing accidents.,Pothole,High
There is a missing signboard near school endangering pedestrians.,Signboard,Medium
There is a damaged footpath near school leading to traffic congestion.,Footpath,Medium
There is a deep pothole near hospital causing accidents.,Pothole,High
There is a street light not working near school causing accidents.,Lighting,High
There is a deep pothole on highway creating safety risks.,Pothole,Medium
There is a broken traffic signal at main junction causing accidents.,Signal,High
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a deep pothole at main junction causing accidents.,Pothole,High
There is a missing signboard near hospital creating safety risks.,Signboard,Medium
There is a deep pothole at main junction endangering pedestrians.,Pothole,Medium
There is a damaged footpath on highway leading to traffic congestion.,Footpath,Medium
There is a deep pothole near school endangering pedestrians.,Pothole,Medium
There is a street light not working on highway causing accidents.,Lighting,High
There is a deep pothole in residential area causing accidents.,Pothole,High
There is a broken traffic signal on highway causing accidents.,Signal,High
There is a street light not working near hospital leading to traffic congestion.,Lighting,Medium
There is a broken traffic signal near hospital creating safety risks.,Signal,Medium
There is a street light not working near hospital leading to traffic congestion.,Lighting,Medium
There is a damaged footpath on highway causing accidents.,Footpath,High
There is a street light not working in residential area creating safety risks.,Lighting,Medium
There is a broken traffic signal near hospital causing accidents.,Signal,High
There is a street light not working in residential area endangering pedestrians.,Lighting,Medium
There is a missing signboard at main junction endangering pedestrians.,Signboard,Medium
There is a deep pothole on highway leading to traffic congestion.,Pothole,Medium
There is a street light not working on highway causing accidents.,Lighting,High
There is a street light not working at main junction leading to traffic congestion.,Lighting,Medium
There is a missing signboard at main junction creating safety risks.,Signboard,Medium
There is a deep pothole at main junction creating safety risks.,Pothole,Medium
There is a broken traffic signal in residential area causing accidents.,Signal,High
There is a missing signboard on highway endangering pedestrians.,Signboard,Medium
There are faded signboard near park and it requires attention.,Signboard,Low
There are small surface cracks along service road and it requires attention.,Pothole,Low
There are dim street light along service road and it requires attention.,Lighting,Low
There are rusted signboard along service road and it requires attention.,Signboard,Low
There are minor road cracks on internal road and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles near market area and it needs maintenance.,Footpath,Low
There are street light needs cleaning near residential area and it requires attention.,Lighting,Low
There are old warning sign near residential area and it requires attention.,Signboard,Low
There are dim street light near park and it should be repaired.,Lighting,Low
There are slight uneven road surface on internal road and it requires attention.,Pothole,Low
There are slightly damaged footpath tiles near market area and it can be fixed during routine maintenance.,Footpath,Low
There are slight uneven road surface near residential area and it can be fixed during routine maintenance.,Pothole,Low
There are minor road cracks near residential area and it can be fixed during routine maintenance.,Pothole,Low
There are dim street light along service road and it should be repaired.,Lighting,Low
There are rusted signboard near residential area and it can be fixed during routine maintenance.,Signboard,Low
There are uneven footpath surface near residential area and it can be fixed during routine maintenance.,Footpath,Low
There are street light needs cleaning near residential area and it should be repaired.,Lighting,Low
There are small surface cracks near market area and it can be fixed during routine maintenance.,Pothole,Low
There are uneven footpath surface on internal road and it should be repaired.,Footpath,Low
There are cracked footpath pavement near park and it needs maintenance.,Footpath,Low
There are faded signboard near market area and it should be repaired.,Signboard,Low
There are small surface cracks on internal road and it needs maintenance.,Pothole,Low
There are dim street light near park and it needs maintenance.,Lighting,Low
There are small surface cracks along service road and it requires attention.,Pothole,Low
There are old warning sign along service road and it requires attention.,Signboard,Low
There are street light needs cleaning along service road and it requires attention.,Lighting,Low
There are minor road cracks near park and it should be repaired.,Pothole,Low
There are street light needs cleaning on internal road and it requires attention.,Lighting,Low
There are cracked footpath pavement near park and it should be repaired.,Footpath,Low
There are minor road cracks near park and it can be fixed during routine maintenance.,Pothole,Low
There are dim street light on internal road and it should be repaired.,Lighting,Low
There are street light flickering near residential area and it should be repaired.,Lighting,Low
There are old warning sign near park and it needs maintenance.,Signboard,Low
There are slightly damaged footpath tiles along service road and it should be repaired.,Footpath,Low
There are cracked footpath pavement near market area and it can be fixed during routine maintenance.,Footpath,Low
There are street light flickering on internal road and it requires attention.,Lighting,Low
There are minor road cracks along service road and it requires attention.,Pothole,Low
There are rusted signboard near market area and it can be fixed during routine maintenance.,Signboard,Low
There are faded signboard near residential area and it requires attention.,Signboard,Low
There are faded signboard near residential area and it should be repaired.,Signboard,Low
There are rusted signboard near market area and it requires attention.,Signboard,Low
There are small surface cracks on internal road and it can be fixed during routine maintenance.,Pothole,Low
There are rusted signboard near market area and it requires attention.,Signboard,Low
There are small surface cracks near park and it should be repaired.,Pothole,Low
There are street light flickering on internal road and it can be fixed during routine maintenance.,Lighting,Low
There are dim street light near residential area and it requires attention.,Lighting,Low
There are slight uneven road surface near market area and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles near market area and it needs maintenance.,Footpath,Low
There are cracked footpath pavement near market area and it needs maintenance.,Footpath,Low
There are faded signboard along service road and it needs maintenance.,Signboard,Low
There are old warning sign on internal road and it needs maintenance.,Signboard,Low
There are slight uneven road surface near market area and it should be repaired.,Pothole,Low
There are dim street light along service road and it should be repaired.,Lighting,Low
There are dim street light near park and it requires attention.,Lighting,Low
There are rusted signboard on internal road and it needs maintenance.,Signboard,Low
There are slightly damaged footpath tiles near market area and it should be repaired.,Footpath,Low
There are street light flickering along service road and it should be repaired.,Lighting,Low
There are cracked footpath pavement near residential area and it can be fixed during routine maintenance.,Footpath,Low
There are slight uneven road surface near residential area and it should be repaired.,Pothole,Low
There are street light needs cleaning near residential area and it can be fixed during routine maintenance.,Lighting,Low
There are uneven footpath surface near residential area and it should be repaired.,Footpath,Low
There are old warning sign near residential area and it should be repaired.,Signboard,Low
There are slight uneven road surface near market area and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles along service road and it should be repaired.,Footpath,Low
There are small surface cracks along service road and it requires attention.,Pothole,Low
There are street light flickering near park and it should be repaired.,Lighting,Low
There are small surface cracks along service road and it should be repaired.,Pothole,Low
There are slightly damaged footpath tiles near park and it can be fixed during routine maintenance.,Footpath,Low
There are uneven footpath surface along service road and it can be fixed during routine maintenance.,Footpath,Low
There are slight uneven road surface near residential area and it needs maintenance.,Pothole,Low
There are street light needs cleaning along service road and it needs maintenance.,Lighting,Low
There are uneven footpath surface near market area and it should be repaired.,Footpath,Low
There are slight uneven road surface along service road and it needs maintenance.,Pothole,Low
There are faded signboard near residential area and it should be repaired.,Signboard,Low
There are rusted signboard on internal road and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near market area and it can be fixed during routine maintenance.,Signboard,Low
There are faded signboard on internal road and it needs maintenance.,Signboard,Low
There are faded signboard near park and it should be repaired.,Signboard,Low
There are slightly damaged footpath tiles near park and it requires attention.,Footpath,Low
There are cracked footpath pavement along service road and it can be fixed during routine maintenance.,Footpath,Low
There are street light needs cleaning along service road and it needs maintenance.,Lighting,Low
There are faded signboard near residential area and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near park and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near market area and it requires attention.,Signboard,Low
There are street light flickering near market area and it needs maintenance.,Lighting,Low
There are rusted signboard near park and it can be fixed during routine maintenance.,Signboard,Low
There are old warning sign near residential area and it requires attention.,Signboard,Low
There are slightly damaged footpath tiles on internal road and it requires attention.,Footpath,Low
There are uneven footpath surface near park and it should be repaired.,Footpath,Low
There are slight uneven road surface near market area and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles near market area and it requires attention.,Footpath,Low
There are slightly damaged footpath tiles on internal road and it needs maintenance.,Footpath,Low
There are dim street light near park and it should be repaired.,Lighting,Low
There are street light flickering near park and it requires attention.,Lighting,Low
There are small surface cracks near park and it should be repaired.,Pothole,Low
There are slightly damaged footpath tiles near market area and it should be repaired.,Footpath,Low
There are street light needs cleaning on internal road and it needs maintenance.,Lighting,Low
There are cracked footpath pavement near park and it can be fixed during routine maintenance.,Footpath,Low
There are minor road cracks near market area and it can be fixed during routine maintenance.,Pothole,Low
There are slightly damaged footpath tiles on internal road and it requires attention.,Footpath,Low

