complaint_text,category,priority
There are dim street light near park and it requires attention.,Lighting,Low
There are rusted signboard on internal road and it needs maintenance.,Signboard,Low
There are slightly damaged footpath tiles near market area and it should be repaired.,Footpath,Low
There are street light flickering along service road and it should be repaired.,Lighting,Low
There are cracked footpath pavement near residential area and it can be fixed during routine maintenance.,Footpath,Low
There are slight uneven road surface near residential area and it should be repaired.,Pothole,Low
There are street light needs cleaning near residential area and it can be fixed during routine maintenance.,Lighting,Low
There are uneven footpath surface near residential area and it should be repaired.,Footpath,Low
There are old warning sign near residential area and it should be repaired.,Signboard,Low
There are slight uneven road surface near market area and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles along service road and it should be repaired.,Footpath,Low
There are small surface cracks along service road and it requires attention.,Pothole,Low
There are street light flickering near park and it should be repaired.,Lighting,Low
There are small surface cracks along service road and it should be repaired.,Pothole,Low
There are slightly damaged footpath tiles near park and it can be fixed during routine maintenance.,Footpath,Low
There are uneven footpath surface along service road and it can be fixed during routine maintenance.,Footpath,Low
There are slight uneven road surface near residential area and it needs maintenance.,Pothole,Low
There are street light needs cleaning along service road and it needs maintenance.,Lighting,Low
There are uneven footpath surface near market area and it should be repaired.,Footpath,Low
There are slight uneven road surface along service road and it needs maintenance.,Pothole,Low
There are faded signboard near residential area and it should be repaired.,Signboard,Low
There are rusted signboard on internal road and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near market area and it can be fixed during routine maintenance.,Signboard,Low
There are faded signboard on internal road and it needs maintenance.,Signboard,Low
There are faded signboard near park and it should be repaired.,Signboard,Low
There are slightly damaged footpath tiles near park and it requires attention.,Footpath,Low
There are cracked footpath pavement along service road and it can be fixed during routine maintenance.,Footpath,Low
There are street light needs cleaning along service road and it needs maintenance.,Lighting,Low
There are faded signboard near residential area and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near park and it can be fixed during routine maintenance.,Signboard,Low
There are rusted signboard near market area and it requires attention.,Signboard,Low
There are street light flickering near market area and it needs maintenance.,Lighting,Low
There are rusted signboard near park and it can be fixed during routine maintenance.,Signboard,Low
There are old warning sign near residential area and it requires attention.,Signboard,Low
There are slightly damaged footpath tiles on internal road and it requires attention.,Footpath,Low
There are uneven footpath surface near park and it should be repaired.,Footpath,Low
There are slight uneven road surface near market area and it needs maintenance.,Pothole,Low
There are slightly damaged footpath tiles near market area and it requires attention.,Footpath,Low
There are slightly damaged footpath tiles on internal road and it needs maintenance.,Footpath,Low
There are dim street light near park and it should be repaired.,Lighting,Low
There are street light flickering near park and it requires attention.,Lighting,Low
There are small surface cracks near park and it should be repaired.,Pothole,Low
There are slightly damaged footpath tiles near market area and it should be repaired.,Footpath,Low
There are street light needs cleaning on internal road and it needs maintenance.,Lighting,Low
There are cracked footpath pavement near park and it can be fixed during routine maintenance.,Footpath,Low
There are minor road cracks near market area and it can be fixed during routine maintenance.,Pothole,Low
There are slightly damaged footpath tiles on internal road and it requires attention.,Footpath,Low
